timestamp,stage,task
1764433800.708005,session_start,
1764433800.708517,concentration,
1764433801.715602,image,T1
1764433804.233987,action,T1
1764433807.748976,relax,
1764433810.251622,rest,
1764433811.755489,concentration,
1764433812.765979,image,T2
1764433815.289172,action,T2
1764433818.806999,relax,
1764433821.317059,rest,
1764433822.821495,concentration,
1764433823.836579,image,T3
1764433826.346579,action,T3
1764433829.849070,relax,
1764433832.365750,rest,
1764433833.872851,concentration,
1764433834.877135,image,T4
1764433837.394226,action,T4
1764433840.924734,relax,
1764433843.433524,rest,
1764433844.940365,concentration,
1764433845.954699,image,T5
1764433848.466976,action,T5
1764433851.973609,relax,
1764433854.484422,rest,
1764433855.989510,concentration,
1764433856.997360,image,T6
1764433859.508478,action,T6
1764433863.015087,relax,
1764433865.530293,rest,
1764433867.035047,concentration,
1764433868.041956,image,T7
1764433870.559884,action,T7
1764433874.071905,relax,
1764433876.576159,rest,
1764433878.081989,session_end,
