timestamp,stage,task
1764434814.755571,session_start,
1764434814.756592,concentration,
1764434815.765596,image,T1
1764434818.285790,action,T1
1764434821.790047,relax,
1764434824.299478,rest,
1764434825.802125,concentration,
1764434826.807356,image,T2
1764434829.322651,action,T2
1764434832.838376,relax,
1764434835.346188,rest,
1764434836.854482,concentration,
1764434837.861534,image,T3
1764434840.380203,action,T3
1764434843.892838,relax,
1764434846.394086,rest,
1764434847.897463,concentration,
1764434848.906526,image,T4
1764434851.425252,action,T4
1764434854.954869,relax,
1764434857.466010,rest,
1764434858.973002,concentration,
1764434859.987676,image,T5
1764434862.506983,action,T5
1764434866.024439,relax,
1764434868.541232,rest,
1764434870.054725,concentration,
1764434871.063580,image,T6
1764434873.582236,action,T6
1764434877.089748,relax,
1764434879.603585,rest,
1764434881.118458,concentration,
1764434882.130763,image,T7
1764434884.645339,action,T7
1764434888.152728,relax,
1764434890.666635,rest,
1764434892.171277,session_end,
