timestamp,stage,task
1764435438.868879,session_start,
1764435438.868879,concentration,
1764435439.873082,image,T1
1764435442.392205,action,T1
1764435445.897243,relax,
1764435448.411303,rest,
1764435449.919283,concentration,
1764435450.927831,image,T2
1764435453.443593,action,T2
1764435456.947266,relax,
1764435459.454935,rest,
1764435460.966056,concentration,
1764435461.975844,image,T3
1764435464.503485,action,T3
1764435468.016258,relax,
1764435470.529220,rest,
1764435472.031828,concentration,
1764435473.040217,image,T4
1764435475.566613,action,T4
1764435479.085244,relax,
1764435481.593435,rest,
1764435483.098827,concentration,
1764435484.104980,image,T5
1764435486.623240,action,T5
1764435490.128033,relax,
1764435492.633100,rest,
1764435494.145344,concentration,
1764435495.152571,image,T6
1764435497.663042,action,T6
1764435501.172630,relax,
1764435503.682922,rest,
1764435505.190327,concentration,
1764435506.196909,image,T7
1764435508.712428,action,T7
1764435512.219996,relax,
1764435514.728292,rest,
1764435516.240036,session_end,
