timestamp,stage,task
1764433878.687401,session_start,
1764433878.688429,concentration,
1764433879.692630,image,T1
1764433882.213093,action,T1
1764433885.726010,relax,
1764433888.230216,rest,
1764433889.734116,concentration,
1764433890.743408,image,T2
1764433893.253678,action,T2
1764433896.762011,relax,
1764433899.273665,rest,
1764433900.787630,concentration,
1764433901.798232,image,T3
1764433904.313305,action,T3
1764433907.826899,relax,
1764433910.338608,rest,
1764433911.843408,concentration,
1764433912.856169,image,T4
1764433915.373276,action,T4
1764433918.898561,relax,
1764433921.404268,rest,
1764433922.917536,concentration,
1764433923.925931,image,T5
1764433926.440104,action,T5
1764433929.946305,relax,
1764433932.453328,rest,
1764433933.968317,concentration,
1764433934.974522,image,T6
1764433937.495493,action,T6
1764433941.006330,relax,
1764433943.519457,rest,
1764433945.023750,concentration,
1764433946.030310,image,T7
1764433948.544950,action,T7
1764433952.061634,relax,
1764433954.565727,rest,
1764433956.079178,session_end,
