timestamp,stage,task
1764434736.749424,session_start,
1764434736.750943,concentration,
1764434737.758761,image,T1
1764434740.272093,action,T1
1764434743.780445,relax,
1764434746.287936,rest,
1764434747.794075,concentration,
1764434748.796863,image,T2
1764434751.317630,action,T2
1764434754.823594,relax,
1764434757.337833,rest,
1764434758.846738,concentration,
1764434759.857860,image,T3
1764434762.377340,action,T3
1764434765.887650,relax,
1764434768.393081,rest,
1764434769.909517,concentration,
1764434770.919508,image,T4
1764434773.435342,action,T4
1764434776.952281,relax,
1764434779.459506,rest,
1764434780.968071,concentration,
1764434781.979276,image,T5
1764434784.492112,action,T5
1764434788.002476,relax,
1764434790.506038,rest,
1764434792.016917,concentration,
1764434793.024603,image,T6
1764434795.550269,action,T6
1764434799.066881,relax,
1764434801.578527,rest,
1764434803.082450,concentration,
1764434804.093010,image,T7
1764434806.609959,action,T7
1764434810.120541,relax,
1764434812.631818,rest,
1764434814.145913,session_end,
