timestamp,stage,task
1764434424.718732,session_start,
1764434424.719281,concentration,
1764434425.727524,image,T1
1764434428.242919,action,T1
1764434431.747290,relax,
1764434434.250787,rest,
1764434435.758658,concentration,
1764434436.762353,image,T2
1764434439.285746,action,T2
1764434442.794049,relax,
1764434445.300625,rest,
1764434446.806150,concentration,
1764434447.811971,image,T3
1764434450.324897,action,T3
1764434453.840730,relax,
1764434456.349459,rest,
1764434457.866678,concentration,
1764434458.871488,image,T4
1764434461.390024,action,T4
1764434464.905152,relax,
1764434467.406839,rest,
1764434468.916649,concentration,
1764434469.928600,image,T5
1764434472.443456,action,T5
1764434475.951015,relax,
1764434478.468953,rest,
1764434479.976113,concentration,
1764434480.982439,image,T6
1764434483.493340,action,T6
1764434487.008469,relax,
1764434489.513058,rest,
1764434491.027198,concentration,
1764434492.035382,image,T7
1764434494.561014,action,T7
1764434498.070844,relax,
1764434500.585574,rest,
1764434502.103301,session_end,
