timestamp,stage,task
1764434502.709249,session_start,
1764434502.710765,concentration,
1764434503.719262,image,T1
1764434506.231752,action,T1
1764434509.737072,relax,
1764434512.247868,rest,
1764434513.760152,concentration,
1764434514.769649,image,T2
1764434517.289096,action,T2
1764434520.805794,relax,
1764434523.315881,rest,
1764434524.831351,concentration,
1764434525.839209,image,T3
1764434528.356751,action,T3
1764434531.860294,relax,
1764434534.373817,rest,
1764434535.878200,concentration,
1764434536.884211,image,T4
1764434539.410160,action,T4
1764434542.917388,relax,
1764434545.430984,rest,
1764434546.934094,concentration,
1764434547.948401,image,T5
1764434550.467328,action,T5
1764434553.968612,relax,
1764434556.473904,rest,
1764434557.983640,concentration,
1764434558.991212,image,T6
1764434561.508575,action,T6
1764434565.021924,relax,
1764434567.539073,rest,
1764434569.052939,concentration,
1764434570.063349,image,T7
1764434572.583482,action,T7
1764434576.091283,relax,
1764434578.593789,rest,
1764434580.105411,session_end,
