timestamp,stage,task
1764434580.711075,session_start,
1764434580.712101,concentration,
1764434581.720066,image,T1
1764434584.231203,action,T1
1764434587.741199,relax,
1764434590.246327,rest,
1764434591.764356,concentration,
1764434592.772906,image,T2
1764434595.290378,action,T2
1764434598.792561,relax,
1764434601.294806,rest,
1764434602.797203,concentration,
1764434603.811143,image,T3
1764434606.329782,action,T3
1764434609.842059,relax,
1764434612.357837,rest,
1764434613.870264,concentration,
1764434614.882803,image,T4
1764434617.397314,action,T4
1764434620.923299,relax,
1764434623.438083,rest,
1764434624.945709,concentration,
1764434625.957155,image,T5
1764434628.481915,action,T5
1764434631.985090,relax,
1764434634.489070,rest,
1764434636.002624,concentration,
1764434637.011260,image,T6
1764434639.534038,action,T6
1764434643.042552,relax,
1764434645.555036,rest,
1764434647.060737,concentration,
1764434648.072545,image,T7
1764434650.585505,action,T7
1764434654.087474,relax,
1764434656.603029,rest,
1764434658.107639,session_end,
