timestamp,stage,task
1764435048.749834,session_start,
1764435048.750391,concentration,
1764435049.764426,image,T1
1764435052.290606,action,T1
1764435055.802866,relax,
1764435058.314553,rest,
1764435059.827508,concentration,
1764435060.838726,image,T2
1764435063.362320,action,T2
1764435066.869905,relax,
1764435069.373167,rest,
1764435070.876656,concentration,
1764435071.885316,image,T3
1764435074.400047,action,T3
1764435077.911561,relax,
1764435080.426337,rest,
1764435081.937850,concentration,
1764435082.949182,image,T4
1764435085.473747,action,T4
1764435089.004471,relax,
1764435091.512569,rest,
1764435093.019094,concentration,
1764435094.022754,image,T5
1764435096.534481,action,T5
1764435100.039423,relax,
1764435102.548093,rest,
1764435104.050926,concentration,
1764435105.061326,image,T6
1764435107.577753,action,T6
1764435111.082699,relax,
1764435113.599207,rest,
1764435115.106115,concentration,
1764435116.115943,image,T7
1764435118.638153,action,T7
1764435122.150119,relax,
1764435124.664415,rest,
1764435126.176798,session_end,
