timestamp,stage,task
1764434658.716973,session_start,
1764434658.717975,concentration,
1764434659.720442,image,T1
1764434662.245316,action,T1
1764434665.749188,relax,
1764434668.260670,rest,
1764434669.776992,concentration,
1764434670.784627,image,T2
1764434673.302967,action,T2
1764434676.805744,relax,
1764434679.318119,rest,
1764434680.830872,concentration,
1764434681.841899,image,T3
1764434684.364722,action,T3
1764434687.878692,relax,
1764434690.381521,rest,
1764434691.895634,concentration,
1764434692.904827,image,T4
1764434695.419255,action,T4
1764434698.948892,relax,
1764434701.458076,rest,
1764434702.962246,concentration,
1764434703.979235,image,T5
1764434706.503014,action,T5
1764434710.011853,relax,
1764434712.523906,rest,
1764434714.026815,concentration,
1764434715.032307,image,T6
1764434717.553763,action,T6
1764434721.059840,relax,
1764434723.576441,rest,
1764434725.085476,concentration,
1764434726.092237,image,T7
1764434728.608255,action,T7
1764434732.114083,relax,
1764434734.620374,rest,
1764434736.130733,session_end,
