timestamp,stage,task
1764435360.856106,session_start,
1764435360.856106,concentration,
1764435361.864051,image,T1
1764435364.390145,action,T1
1764435367.896526,relax,
1764435370.402370,rest,
1764435371.917671,concentration,
1764435372.925578,image,T2
1764435375.443852,action,T2
1764435378.948626,relax,
1764435381.462855,rest,
1764435382.970442,concentration,
1764435383.983635,image,T3
1764435386.496960,action,T3
1764435390.005345,relax,
1764435392.508584,rest,
1764435394.015972,concentration,
1764435395.030532,image,T4
1764435397.544530,action,T4
1764435401.070268,relax,
1764435403.583297,rest,
1764435405.092371,concentration,
1764435406.099786,image,T5
1764435408.620150,action,T5
1764435412.126432,relax,
1764435414.642883,rest,
1764435416.158597,concentration,
1764435417.169602,image,T6
1764435419.683035,action,T6
1764435423.195873,relax,
1764435425.706761,rest,
1764435427.209239,concentration,
1764435428.221399,image,T7
1764435430.738387,action,T7
1764435434.241333,relax,
1764435436.757543,rest,
1764435438.261772,session_end,
