timestamp,stage,task
1764435672.964536,session_start,
1764435672.965552,concentration,
1764435673.971584,image,T1
1764435676.491250,action,T1
1764435680.001567,relax,
1764435682.509878,rest,
1764435684.015414,concentration,
1764435685.026126,image,T2
1764435687.545673,action,T2
1764435691.051002,relax,
1764435693.568993,rest,
1764435695.074101,concentration,
1764435696.085914,image,T3
1764435698.603421,action,T3
1764435702.117023,relax,
1764435704.633923,rest,
1764435706.137928,concentration,
1764435707.148324,image,T4
1764435709.665800,action,T4
1764435713.173587,relax,
1764435715.684462,rest,
1764435717.188826,concentration,
1764435718.198413,image,T5
1764435720.718107,action,T5
1764435724.230491,relax,
1764435726.739281,rest,
1764435728.244739,concentration,
1764435729.256410,image,T6
1764435731.773992,action,T6
1764435735.288271,relax,
1764435737.792265,rest,
1764435739.299261,concentration,
1764435740.307152,image,T7
1764435742.827643,action,T7
1764435746.330196,relax,
1764435748.834555,rest,
1764435750.339874,session_end,
