timestamp,stage,task
1764434970.758317,session_start,
1764434970.759335,concentration,
1764434971.767002,image,T1
1764434974.286111,action,T1
1764434977.791429,relax,
1764434980.298977,rest,
1764434981.807560,concentration,
1764434982.816520,image,T2
1764434985.340745,action,T2
1764434988.853822,relax,
1764434991.360135,rest,
1764434992.873768,concentration,
1764434993.881067,image,T3
1764434996.396308,action,T3
1764434999.909327,relax,
1764435002.414311,rest,
1764435003.919935,concentration,
1764435004.926400,image,T4
1764435007.452050,action,T4
1764435010.970790,relax,
1764435013.473638,rest,
1764435014.976177,concentration,
1764435015.984953,image,T5
1764435018.497900,action,T5
1764435022.012948,relax,
1764435024.525934,rest,
1764435026.028322,concentration,
1764435027.034574,image,T6
1764435029.545940,action,T6
1764435033.057201,relax,
1764435035.574167,rest,
1764435037.077563,concentration,
1764435038.083665,image,T7
1764435040.606730,action,T7
1764435044.114607,relax,
1764435046.617951,rest,
1764435048.131922,session_end,
