timestamp,stage,task
1764506972.556316,session_start,
1764506972.557316,concentration,
1764506973.569072,image,T1
1764506976.081819,action,T1
1764506979.586488,relax,
1764506982.090904,rest,
1764506983.597780,concentration,
1764506984.615573,image,T2
1764506987.136668,action,T2
1764506990.645282,relax,
1764506993.154821,rest,
1764506994.672282,concentration,
1764506995.685382,image,T3
1764506998.200151,action,T3
1764507001.714118,relax,
1764507004.229498,rest,
1764507005.744482,concentration,
1764507006.757315,image,T4
1764507009.273540,action,T4
1764507012.789313,relax,
1764507015.293689,rest,
1764507016.802091,concentration,
1764507017.817459,image,T5
1764507020.339051,action,T5
1764507023.853867,relax,
1764507026.368494,rest,
1764507027.883873,concentration,
1764507028.901342,image,T6
1764507031.420324,action,T6
1764507034.927763,relax,
1764507037.444105,rest,
1764507038.957722,concentration,
1764507039.961413,image,T7
1764507042.481201,action,T7
1764507045.985658,relax,
1764507048.491780,rest,
1764507050.008617,session_end,
