timestamp,stage,task
1764505567.292586,session_start,
1764505567.295220,concentration,
1764505568.310546,image,T1
1764505570.824846,action,T1
1764505574.331126,relax,
1764505576.840138,rest,
1764505578.353230,concentration,
1764505579.356068,image,T2
1764505581.881129,action,T2
1764505585.395154,relax,
1764505587.907363,rest,
1764505589.421974,concentration,
1764505590.431940,image,T3
1764505592.955823,action,T3
1764505596.466338,relax,
1764505598.970047,rest,
1764505600.483398,concentration,
1764505601.496298,image,T4
1764505604.013269,action,T4
1764505607.543470,relax,
1764505610.059647,rest,
1764505611.575426,concentration,
1764505612.581585,image,T5
1764505615.095742,action,T5
1764505618.605937,relax,
1764505621.118165,rest,
1764505622.630174,concentration,
1764505623.660378,image,T6
1764505626.181851,action,T6
1764505629.686562,relax,
1764505632.191870,rest,
1764505633.704843,concentration,
1764505634.713795,image,T7
1764505637.241060,action,T7
1764505640.748023,relax,
1764505643.256432,rest,
1764505644.767970,session_end,
