timestamp,stage,task
1764505255.044909,session_start,
1764505255.046427,concentration,
1764505256.054337,image,T1
1764505258.582389,action,T1
1764505262.087155,relax,
1764505264.599273,rest,
1764505266.115215,concentration,
1764505267.130116,image,T2
1764505269.651037,action,T2
1764505273.164153,relax,
1764505275.673704,rest,
1764505277.187638,concentration,
1764505278.202171,image,T3
1764505280.719861,action,T3
1764505284.228213,relax,
1764505286.730822,rest,
1764505288.240638,concentration,
1764505289.251695,image,T4
1764505291.776995,action,T4
1764505295.298695,relax,
1764505297.803642,rest,
1764505299.321339,concentration,
1764505300.334722,image,T5
1764505302.858073,action,T5
1764505306.361568,relax,
1764505308.875165,rest,
1764505310.384969,concentration,
1764505311.400202,image,T6
1764505313.914136,action,T6
1764505317.430161,relax,
1764505319.942288,rest,
1764505321.455812,concentration,
1764505322.458579,image,T7
1764505324.971194,action,T7
1764505328.480617,relax,
1764505330.985664,rest,
1764505332.493950,session_end,
