timestamp,stage,task
1764507128.712409,session_start,
1764507128.713435,concentration,
1764507129.730249,image,T1
1764507132.255325,action,T1
1764507135.767204,relax,
1764507138.274432,rest,
1764507139.779580,concentration,
1764507140.784140,image,T2
1764507143.304914,action,T2
1764507146.814024,relax,
1764507149.320535,rest,
1764507150.826967,concentration,
1764507151.834969,image,T3
1764507154.354801,action,T3
1764507157.870373,relax,
1764507160.383566,rest,
1764507161.892235,concentration,
1764507162.894527,image,T4
1764507165.413311,action,T4
1764507168.931875,relax,
1764507171.448095,rest,
1764507172.951242,concentration,
1764507173.966731,image,T5
1764507176.491112,action,T5
1764507180.000719,relax,
1764507182.514057,rest,
1764507184.018730,concentration,
1764507185.033627,image,T6
1764507187.556391,action,T6
1764507191.069059,relax,
1764507193.574470,rest,
1764507195.089989,concentration,
1764507196.097538,image,T7
1764507198.616408,action,T7
1764507202.121555,relax,
1764507204.631710,rest,
1764507206.146472,session_end,
