timestamp,stage,task
1764505333.103190,session_start,
1764505333.104202,concentration,
1764505334.112070,image,T1
1764505336.636510,action,T1
1764505340.148047,relax,
1764505342.661194,rest,
1764505344.176502,concentration,
1764505345.193302,image,T2
1764505347.721129,action,T2
1764505351.236137,relax,
1764505353.738793,rest,
1764505355.246389,concentration,
1764505356.248964,image,T3
1764505358.767159,action,T3
1764505362.276387,relax,
1764505364.785235,rest,
1764505366.296674,concentration,
1764505367.308982,image,T4
1764505369.839543,action,T4
1764505373.364410,relax,
1764505375.878067,rest,
1764505377.381149,concentration,
1764505378.395749,image,T5
1764505380.919244,action,T5
1764505384.427572,relax,
1764505386.939327,rest,
1764505388.445727,concentration,
1764505389.456927,image,T6
1764505391.984030,action,T6
1764505395.494179,relax,
1764505397.999561,rest,
1764505399.514769,concentration,
1764505400.517781,image,T7
1764505403.038546,action,T7
1764505406.546657,relax,
1764505409.059145,rest,
1764505410.571689,session_end,
