timestamp,stage,task
1764505176.976566,session_start,
1764505176.977594,concentration,
1764505177.987806,image,T1
1764505180.510429,action,T1
1764505184.014706,relax,
1764505186.529692,rest,
1764505188.041857,concentration,
1764505189.046741,image,T2
1764505191.564161,action,T2
1764505195.077793,relax,
1764505197.582092,rest,
1764505199.097806,concentration,
1764505200.109833,image,T3
1764505202.631525,action,T3
1764505206.138192,relax,
1764505208.652119,rest,
1764505210.163991,concentration,
1764505211.175413,image,T4
1764505213.698909,action,T4
1764505217.221372,relax,
1764505219.735965,rest,
1764505221.251783,concentration,
1764505222.262088,image,T5
1764505224.778448,action,T5
1764505228.285185,relax,
1764505230.787843,rest,
1764505232.300277,concentration,
1764505233.312778,image,T6
1764505235.829467,action,T6
1764505239.344721,relax,
1764505241.861704,rest,
1764505243.372627,concentration,
1764505244.378282,image,T7
1764505246.898516,action,T7
1764505250.412873,relax,
1764505252.927558,rest,
1764505254.436365,session_end,
