timestamp,stage,task
1764505098.879591,session_start,
1764505098.880590,concentration,
1764505099.890718,image,T1
1764505102.408749,action,T1
1764505105.915847,relax,
1764505108.422924,rest,
1764505109.932714,concentration,
1764505110.946564,image,T2
1764505113.475252,action,T2
1764505116.978785,relax,
1764505119.489207,rest,
1764505121.005920,concentration,
1764505122.023806,image,T3
1764505124.541610,action,T3
1764505128.055484,relax,
1764505130.567630,rest,
1764505132.082241,concentration,
1764505133.094758,image,T4
1764505135.619398,action,T4
1764505139.144245,relax,
1764505141.661061,rest,
1764505143.172802,concentration,
1764505144.175554,image,T5
1764505146.701157,action,T5
1764505150.217380,relax,
1764505152.724433,rest,
1764505154.241211,concentration,
1764505155.256557,image,T6
1764505157.776655,action,T6
1764505161.292586,relax,
1764505163.796140,rest,
1764505165.306200,concentration,
1764505166.323425,image,T7
1764505168.835626,action,T7
1764505172.350194,relax,
1764505174.857702,rest,
1764505176.370755,session_end,
