timestamp,stage,task
1764506035.808033,session_start,
1764506035.809049,concentration,
1764506036.827027,image,T1
1764506039.348324,action,T1
1764506042.850671,relax,
1764506045.362370,rest,
1764506046.875588,concentration,
1764506047.890055,image,T2
1764506050.415327,action,T2
1764506053.921913,relax,
1764506056.430141,rest,
1764506057.935857,concentration,
1764506058.953947,image,T3
1764506061.478539,action,T3
1764506064.983915,relax,
1764506067.490235,rest,
1764506068.993466,concentration,
1764506069.996152,image,T4
1764506072.523473,action,T4
1764506076.050216,relax,
1764506078.570326,rest,
1764506080.084174,concentration,
1764506081.088855,image,T5
1764506083.605459,action,T5
1764506087.116406,relax,
1764506089.629479,rest,
1764506091.143331,concentration,
1764506092.147711,image,T6
1764506094.671698,action,T6
1764506098.180799,relax,
1764506100.684953,rest,
1764506102.201481,concentration,
1764506103.204352,image,T7
1764506105.720984,action,T7
1764506109.232581,relax,
1764506111.734924,rest,
1764506113.250034,session_end,
