timestamp,stage,task
1764507206.757553,session_start,
1764507206.758554,concentration,
1764507207.773202,image,T1
1764507210.291348,action,T1
1764507213.805370,relax,
1764507216.316851,rest,
1764507217.821239,concentration,
1764507218.834547,image,T2
1764507221.352855,action,T2
1764507224.858942,relax,
1764507227.369163,rest,
1764507228.877583,concentration,
1764507229.883433,image,T3
1764507232.396323,action,T3
1764507235.899065,relax,
1764507238.402878,rest,
1764507239.913725,concentration,
1764507240.929960,image,T4
1764507243.442486,action,T4
1764507246.955449,relax,
1764507249.459007,rest,
1764507250.961990,concentration,
1764507251.977189,image,T5
1764507254.489976,action,T5
1764507258.006583,relax,
1764507260.519245,rest,
1764507262.031048,concentration,
1764507263.047365,image,T6
1764507265.573331,action,T6
1764507269.083563,relax,
1764507271.598950,rest,
1764507273.115820,concentration,
1764507274.134006,image,T7
1764507276.651149,action,T7
1764507280.167762,relax,
1764507282.677876,rest,
1764507284.193241,session_end,
