timestamp,stage,task
1764504942.843796,session_start,
1764504942.845316,concentration,
1764504943.852174,image,T1
1764504946.366318,action,T1
1764504949.878503,relax,
1764504952.381988,rest,
1764504953.887816,concentration,
1764504954.899973,image,T2
1764504957.422101,action,T2
1764504960.936921,relax,
1764504963.442556,rest,
1764504964.956278,concentration,
1764504965.964490,image,T3
1764504968.489217,action,T3
1764504971.996491,relax,
1764504974.509464,rest,
1764504976.025119,concentration,
1764504977.042128,image,T4
1764504979.552162,action,T4
1764504983.069370,relax,
1764504985.573774,rest,
1764504987.083051,concentration,
1764504988.098002,image,T5
1764504990.614163,action,T5
1764504994.118380,relax,
1764504996.622942,rest,
1764504998.130083,concentration,
1764504999.133055,image,T6
1764505001.654313,action,T6
1764505005.160162,relax,
1764505007.669960,rest,
1764505009.174120,concentration,
1764505010.178448,image,T7
1764505012.697793,action,T7
1764505016.210886,relax,
1764505018.718937,rest,
1764505020.226435,session_end,
