timestamp,stage,task
1764504864.770575,session_start,
1764504864.771604,concentration,
1764504865.775958,image,T1
1764504868.294072,action,T1
1764504871.803771,relax,
1764504874.308484,rest,
1764504875.817020,concentration,
1764504876.827029,image,T2
1764504879.352430,action,T2
1764504882.856751,relax,
1764504885.366097,rest,
1764504886.868949,concentration,
1764504887.881209,image,T3
1764504890.402848,action,T3
1764504893.910128,relax,
1764504896.430598,rest,
1764504897.944102,concentration,
1764504898.959734,image,T4
1764504901.484662,action,T4
1764504905.013315,relax,
1764504907.523002,rest,
1764504909.034163,concentration,
1764504910.049809,image,T5
1764504912.562395,action,T5
1764504916.074583,relax,
1764504918.583213,rest,
1764504920.093747,concentration,
1764504921.107887,image,T6
1764504923.628807,action,T6
1764504927.144547,relax,
1764504929.655539,rest,
1764504931.169522,concentration,
1764504932.185229,image,T7
1764504934.698415,action,T7
1764504938.212008,relax,
1764504940.727989,rest,
1764504942.235833,session_end,
