timestamp,stage,task
1764506348.047746,session_start,
1764506348.048752,concentration,
1764506349.058808,image,T1
1764506351.586897,action,T1
1764506355.096307,relax,
1764506357.601254,rest,
1764506359.104500,concentration,
1764506360.110228,image,T2
1764506362.629654,action,T2
1764506366.146475,relax,
1764506368.659946,rest,
1764506370.176936,concentration,
1764506371.179559,image,T3
1764506373.696587,action,T3
1764506377.200491,relax,
1764506379.708450,rest,
1764506381.222758,concentration,
1764506382.238965,image,T4
1764506384.760053,action,T4
1764506388.289421,relax,
1764506390.804119,rest,
1764506392.320847,concentration,
1764506393.337509,image,T5
1764506395.852082,action,T5
1764506399.367367,relax,
1764506401.882139,rest,
1764506403.400501,concentration,
1764506404.407515,image,T6
1764506406.925066,action,T6
1764506410.442638,relax,
1764506412.953595,rest,
1764506414.459229,concentration,
1764506415.475869,image,T7
1764506417.989276,action,T7
1764506421.497711,relax,
1764506424.008051,rest,
1764506425.512296,session_end,
