timestamp,stage,task
1764504786.682912,session_start,
1764504786.682912,concentration,
1764504787.692640,image,T1
1764504790.225015,action,T1
1764504793.728849,relax,
1764504796.241659,rest,
1764504797.747281,concentration,
1764504798.761077,image,T2
1764504801.283694,action,T2
1764504804.787489,relax,
1764504807.295703,rest,
1764504808.812652,concentration,
1764504809.826355,image,T3
1764504812.353254,action,T3
1764504815.861064,relax,
1764504818.374346,rest,
1764504819.886133,concentration,
1764504820.903148,image,T4
1764504823.415745,action,T4
1764504826.932464,relax,
1764504829.449172,rest,
1764504830.959096,concentration,
1764504831.967870,image,T5
1764504834.483433,action,T5
1764504838.000340,relax,
1764504840.517546,rest,
1764504842.031362,concentration,
1764504843.046713,image,T6
1764504845.561877,action,T6
1764504849.075423,relax,
1764504851.587668,rest,
1764504853.099293,concentration,
1764504854.112674,image,T7
1764504856.640043,action,T7
1764504860.149950,relax,
1764504862.659712,rest,
1764504864.164349,session_end,
