timestamp,stage,task
1764762809.497345,session_start,
1764762809.498341,concentration,
1764762810.512646,image,T1
1764762813.019558,action,T1
1764762816.528392,relax,
1764762819.031341,rest,
1764762820.541665,concentration,
1764762821.553713,image,T2
1764762824.068934,action,T2
1764762827.570512,relax,
1764762830.080561,rest,
1764762831.594070,concentration,
1764762832.607633,image,T3
1764762835.130107,action,T3
1764762838.638347,relax,
1764762841.148457,rest,
1764762842.654654,concentration,
1764762843.666493,image,T4
1764762846.176487,action,T4
1764762849.696182,relax,
1764762852.199331,rest,
1764762853.706388,concentration,
1764762854.715952,image,T5
1764762857.233607,action,T5
1764762860.743777,relax,
1764762863.253269,rest,
1764762864.768436,concentration,
1764762865.781852,image,T6
1764762868.299600,action,T6
1764762871.812698,relax,
1764762874.328053,rest,
1764762875.841848,concentration,
1764762876.852741,image,T7
1764762879.370275,action,T7
1764762882.872834,relax,
1764762885.377448,rest,
1764762886.889227,session_end,
