timestamp,stage,task
1764764213.061244,session_start,
1764764213.061755,concentration,
1764764214.072759,image,T1
1764764216.591959,action,T1
1764764220.095597,relax,
1764764222.600895,rest,
1764764224.113283,concentration,
1764764225.124584,image,T2
1764764227.630223,action,T2
1764764231.132835,relax,
1764764233.647741,rest,
1764764235.161604,concentration,
1764764236.172845,image,T3
1764764238.688321,action,T3
1764764242.190793,relax,
1764764244.695404,rest,
1764764246.198534,concentration,
1764764247.206072,image,T4
1764764249.725683,action,T4
1764764253.240848,relax,
1764764255.748659,rest,
1764764257.257952,concentration,
1764764258.274352,image,T5
1764764260.782759,action,T5
1764764264.291300,relax,
1764764266.800373,rest,
1764764268.308520,concentration,
1764764269.317024,image,T6
1764764271.836727,action,T6
1764764275.347552,relax,
1764764277.854230,rest,
1764764279.364467,concentration,
1764764280.375306,image,T7
1764764282.883309,action,T7
1764764286.390628,relax,
1764764288.902663,rest,
1764764290.420273,session_end,
