timestamp,stage,task
1764763979.194868,session_start,
1764763979.195887,concentration,
1764763980.204569,image,T1
1764763982.726567,action,T1
1764763986.235076,relax,
1764763988.737664,rest,
1764763990.241502,concentration,
1764763991.255547,image,T2
1764763993.765210,action,T2
1764763997.280929,relax,
1764763999.787264,rest,
1764764001.295304,concentration,
1764764002.304612,image,T3
1764764004.816336,action,T3
1764764008.320635,relax,
1764764010.825639,rest,
1764764012.335755,concentration,
1764764013.350034,image,T4
1764764015.872424,action,T4
1764764019.387181,relax,
1764764021.903150,rest,
1764764023.415078,concentration,
1764764024.427696,image,T5
1764764026.937269,action,T5
1764764030.445364,relax,
1764764032.951055,rest,
1764764034.463434,concentration,
1764764035.470128,image,T6
1764764037.983073,action,T6
1764764041.486246,relax,
1764764043.996745,rest,
1764764045.513232,concentration,
1764764046.525914,image,T7
1764764049.040977,action,T7
1764764052.547868,relax,
1764764055.056909,rest,
1764764056.558903,session_end,
