timestamp,stage,task
1764764914.914051,session_start,
1764764914.915061,concentration,
1764764915.924304,image,T1
1764764918.437783,action,T1
1764764921.948308,relax,
1764764924.464693,rest,
1764764925.968460,concentration,
1764764926.979399,image,T2
1764764929.493567,action,T2
1764764933.006923,relax,
1764764935.513990,rest,
1764764937.029183,concentration,
1764764938.042262,image,T3
1764764940.553584,action,T3
1764764944.063290,relax,
1764764946.580825,rest,
1764764948.093515,concentration,
1764764949.108962,image,T4
1764764951.628692,action,T4
1764764955.140841,relax,
1764764957.652598,rest,
1764764959.160005,concentration,
1764764960.176214,image,T5
1764764962.697583,action,T5
1764764966.207861,relax,
1764764968.719970,rest,
1764764970.233776,concentration,
1764764971.235363,image,T6
1764764973.756592,action,T6
1764764977.262438,relax,
1764764979.774534,rest,
1764764981.283448,concentration,
1764764982.296036,image,T7
1764764984.814916,action,T7
1764764988.317217,relax,
1764764990.825081,rest,
1764764992.342795,session_end,
