timestamp,stage,task
1764762731.550394,session_start,
1764762731.551434,concentration,
1764762732.555142,image,T1
1764762735.061324,action,T1
1764762738.568383,relax,
1764762741.079629,rest,
1764762742.591267,concentration,
1764762743.605334,image,T2
1764762746.121107,action,T2
1764762749.637394,relax,
1764762752.143681,rest,
1764762753.657884,concentration,
1764762754.663088,image,T3
1764762757.176230,action,T3
1764762760.679096,relax,
1764762763.188092,rest,
1764762764.692991,concentration,
1764762765.704954,image,T4
1764762768.223920,action,T4
1764762771.728676,relax,
1764762774.238087,rest,
1764762775.747245,concentration,
1764762776.759908,image,T5
1764762779.265767,action,T5
1764762782.770296,relax,
1764762785.282818,rest,
1764762786.794382,concentration,
1764762787.805760,image,T6
1764762790.314548,action,T6
1764762793.826163,relax,
1764762796.333923,rest,
1764762797.841575,concentration,
1764762798.852805,image,T7
1764762801.367043,action,T7
1764762804.873568,relax,
1764762807.384814,rest,
1764762808.888692,session_end,
