timestamp,stage,task
1764762965.458533,session_start,
1764762965.459583,concentration,
1764762966.465916,image,T1
1764762968.987774,action,T1
1764762972.495253,relax,
1764762975.003284,rest,
1764762976.513000,concentration,
1764762977.516269,image,T2
1764762980.025075,action,T2
1764762983.534299,relax,
1764762986.045366,rest,
1764762987.562749,concentration,
1764762988.577391,image,T3
1764762991.096704,action,T3
1764762994.612902,relax,
1764762997.125581,rest,
1764762998.639434,concentration,
1764762999.654213,image,T4
1764763002.167508,action,T4
1764763005.686207,relax,
1764763008.199659,rest,
1764763009.715502,concentration,
1764763010.723160,image,T5
1764763013.244713,action,T5
1764763016.748485,relax,
1764763019.261754,rest,
1764763020.770764,concentration,
1764763021.787034,image,T6
1764763024.301218,action,T6
1764763027.808826,relax,
1764763030.324730,rest,
1764763031.832713,concentration,
1764763032.848743,image,T7
1764763035.371446,action,T7
1764763038.877326,relax,
1764763041.384709,rest,
1764763042.894022,session_end,
