timestamp,stage,task
1764764135.101869,session_start,
1764764135.103383,concentration,
1764764136.113937,image,T1
1764764138.628811,action,T1
1764764142.144803,relax,
1764764144.656472,rest,
1764764146.159576,concentration,
1764764147.174553,image,T2
1764764149.692356,action,T2
1764764153.196323,relax,
1764764155.706897,rest,
1764764157.221655,concentration,
1764764158.223777,image,T3
1764764160.742739,action,T3
1764764164.249115,relax,
1764764166.760430,rest,
1764764168.274464,concentration,
1764764169.286920,image,T4
1764764171.807479,action,T4
1764764175.318478,relax,
1764764177.826836,rest,
1764764179.338978,concentration,
1764764180.348220,image,T5
1764764182.858401,action,T5
1764764186.362970,relax,
1764764188.865166,rest,
1764764190.368412,concentration,
1764764191.371181,image,T6
1764764193.887766,action,T6
1764764197.389448,relax,
1764764199.900016,rest,
1764764201.412815,concentration,
1764764202.414937,image,T7
1764764204.934333,action,T7
1764764208.437460,relax,
1764764210.946350,rest,
1764764212.455959,session_end,
