timestamp,stage,task
1764763511.375012,session_start,
1764763511.375538,concentration,
1764763512.383373,image,T1
1764763514.890835,action,T1
1764763518.407621,relax,
1764763520.916139,rest,
1764763522.429580,concentration,
1764763523.442267,image,T2
1764763525.959169,action,T2
1764763529.462483,relax,
1764763531.977406,rest,
1764763533.488821,concentration,
1764763534.494708,image,T3
1764763537.004958,action,T3
1764763540.515899,relax,
1764763543.021926,rest,
1764763544.530284,concentration,
1764763545.542264,image,T4
1764763548.059962,action,T4
1764763551.566921,relax,
1764763554.080586,rest,
1764763555.588334,concentration,
1764763556.603290,image,T5
1764763559.111291,action,T5
1764763562.613941,relax,
1764763565.124530,rest,
1764763566.639529,concentration,
1764763567.655499,image,T6
1764763570.171346,action,T6
1764763573.684386,relax,
1764763576.197029,rest,
1764763577.712144,concentration,
1764763578.723811,image,T7
1764763581.241010,action,T7
1764763584.752164,relax,
1764763587.262025,rest,
1764763588.770407,session_end,
