timestamp,stage,task
1764764368.989548,session_start,
1764764368.990834,concentration,
1764764370.001105,image,T1
1764764372.520617,action,T1
1764764376.035550,relax,
1764764378.551562,rest,
1764764380.062247,concentration,
1764764381.078818,image,T2
1764764383.598154,action,T2
1764764387.114858,relax,
1764764389.639140,rest,
1764764391.156915,concentration,
1764764392.169512,image,T3
1764764394.687615,action,T3
1764764398.204000,relax,
1764764400.714466,rest,
1764764402.216729,concentration,
1764764403.232061,image,T4
1764764405.754765,action,T4
1764764409.276757,relax,
1764764411.791271,rest,
1764764413.304883,concentration,
1764764414.316450,image,T5
1764764416.835578,action,T5
1764764420.345291,relax,
1764764422.855159,rest,
1764764424.364214,concentration,
1764764425.379100,image,T6
1764764427.888527,action,T6
1764764431.391849,relax,
1764764433.896914,rest,
1764764435.407045,concentration,
1764764436.421961,image,T7
1764764438.940370,action,T7
1764764442.452376,relax,
1764764444.957812,rest,
1764764446.464940,session_end,
