timestamp,stage,task
1764763277.484356,session_start,
1764763277.484867,concentration,
1764763278.497690,image,T1
1764763281.006566,action,T1
1764763284.508913,relax,
1764763287.017361,rest,
1764763288.525694,concentration,
1764763289.535175,image,T2
1764763292.045478,action,T2
1764763295.559126,relax,
1764763298.074076,rest,
1764763299.576734,concentration,
1764763300.588286,image,T3
1764763303.099569,action,T3
1764763306.613913,relax,
1764763309.124681,rest,
1764763310.631539,concentration,
1764763311.642988,image,T4
1764763314.152270,action,T4
1764763317.662517,relax,
1764763320.167856,rest,
1764763321.680020,concentration,
1764763322.690122,image,T5
1764763325.208277,action,T5
1764763328.710507,relax,
1764763331.217705,rest,
1764763332.727579,concentration,
1764763333.734805,image,T6
1764763336.249918,action,T6
1764763339.764429,relax,
1764763342.273348,rest,
1764763343.776079,concentration,
1764763344.792440,image,T7
1764763347.313904,action,T7
1764763350.819337,relax,
1764763353.330157,rest,
1764763354.840096,session_end,
