timestamp,stage,task
1764763433.423557,session_start,
1764763433.423557,concentration,
1764763434.432659,image,T1
1764763436.939886,action,T1
1764763440.458731,relax,
1764763442.962878,rest,
1764763444.468861,concentration,
1764763445.483798,image,T2
1764763447.993705,action,T2
1764763451.505995,relax,
1764763454.019590,rest,
1764763455.526222,concentration,
1764763456.527934,image,T3
1764763459.038028,action,T3
1764763462.543694,relax,
1764763465.050123,rest,
1764763466.563257,concentration,
1764763467.578190,image,T4
1764763470.084325,action,T4
1764763473.598836,relax,
1764763476.113033,rest,
1764763477.619823,concentration,
1764763478.633985,image,T5
1764763481.154267,action,T5
1764763484.660359,relax,
1764763487.166822,rest,
1764763488.678115,concentration,
1764763489.685948,image,T6
1764763492.195113,action,T6
1764763495.705287,relax,
1764763498.208069,rest,
1764763499.717938,concentration,
1764763500.732496,image,T7
1764763503.245172,action,T7
1764763506.752612,relax,
1764763509.256425,rest,
1764763510.766714,session_end,
