timestamp,stage,task
1764763355.450080,session_start,
1764763355.451615,concentration,
1764763356.462229,image,T1
1764763358.971354,action,T1
1764763362.474662,relax,
1764763364.978121,rest,
1764763366.484421,concentration,
1764763367.494613,image,T2
1764763370.002491,action,T2
1764763373.517220,relax,
1764763376.025575,rest,
1764763377.539720,concentration,
1764763378.553766,image,T3
1764763381.063263,action,T3
1764763384.567397,relax,
1764763387.070932,rest,
1764763388.586490,concentration,
1764763389.597702,image,T4
1764763392.108417,action,T4
1764763395.621641,relax,
1764763398.125743,rest,
1764763399.635516,concentration,
1764763400.651763,image,T5
1764763403.170835,action,T5
1764763406.681313,relax,
1764763409.183793,rest,
1764763410.693017,concentration,
1764763411.704904,image,T6
1764763414.224109,action,T6
1764763417.741230,relax,
1764763420.248340,rest,
1764763421.760100,concentration,
1764763422.772164,image,T7
1764763425.289712,action,T7
1764763428.797658,relax,
1764763431.311420,rest,
1764763432.814932,session_end,
