timestamp,stage,task
1764762887.493987,session_start,
1764762887.493987,concentration,
1764762888.506593,image,T1
1764762891.020018,action,T1
1764762894.526958,relax,
1764762897.029324,rest,
1764762898.535609,concentration,
1764762899.548013,image,T2
1764762902.057418,action,T2
1764762905.565249,relax,
1764762908.081175,rest,
1764762909.590040,concentration,
1764762910.598411,image,T3
1764762913.112284,action,T3
1764762916.622118,relax,
1764762919.134216,rest,
1764762920.643885,concentration,
1764762921.657111,image,T4
1764762924.178041,action,T4
1764762927.691316,relax,
1764762930.199796,rest,
1764762931.714159,concentration,
1764762932.727499,image,T5
1764762935.249925,action,T5
1764762938.759498,relax,
1764762941.260741,rest,
1764762942.768328,concentration,
1764762943.770800,image,T6
1764762946.278344,action,T6
1764762949.782821,relax,
1764762952.291310,rest,
1764762953.801657,concentration,
1764762954.805107,image,T7
1764762957.315049,action,T7
1764762960.819667,relax,
1764762963.331168,rest,
1764762964.844604,session_end,
