timestamp,stage,task
1764764525.059087,session_start,
1764764525.059599,concentration,
1764764526.075828,image,T1
1764764528.594050,action,T1
1764764532.095918,relax,
1764764534.605487,rest,
1764764536.112727,concentration,
1764764537.123053,image,T2
1764764539.630688,action,T2
1764764543.141077,relax,
1764764545.653566,rest,
1764764547.167967,concentration,
1764764548.177970,image,T3
1764764550.691695,action,T3
1764764554.194556,relax,
1764764556.700198,rest,
1764764558.213061,concentration,
1764764559.219793,image,T4
1764764561.729949,action,T4
1764764565.241279,relax,
1764764567.754973,rest,
1764764569.257605,concentration,
1764764570.270665,image,T5
1764764572.790720,action,T5
1764764576.296118,relax,
1764764578.803729,rest,
1764764580.318366,concentration,
1764764581.330190,image,T6
1764764583.837499,action,T6
1764764587.342660,relax,
1764764589.848231,rest,
1764764591.362159,concentration,
1764764592.374381,image,T7
1764764594.892374,action,T7
1764764598.406858,relax,
1764764600.912782,rest,
1764764602.422460,session_end,
