timestamp,stage,task
1764762653.592249,session_start,
1764762653.592249,concentration,
1764762654.601423,image,T1
1764762657.108939,action,T1
1764762660.624943,relax,
1764762663.135312,rest,
1764762664.640262,concentration,
1764762665.648671,image,T2
1764762668.160546,action,T2
1764762671.663854,relax,
1764762674.179695,rest,
1764762675.684641,concentration,
1764762676.688084,image,T3
1764762679.199641,action,T3
1764762682.705163,relax,
1764762685.212848,rest,
1764762686.722783,concentration,
1764762687.735547,image,T4
1764762690.256464,action,T4
1764762693.763784,relax,
1764762696.272443,rest,
1764762697.778740,concentration,
1764762698.791285,image,T5
1764762701.301032,action,T5
1764762704.817359,relax,
1764762707.324296,rest,
1764762708.840400,concentration,
1764762709.851169,image,T6
1764762712.357494,action,T6
1764762715.864832,relax,
1764762718.374099,rest,
1764762719.878553,concentration,
1764762720.895046,image,T7
1764762723.415448,action,T7
1764762726.923592,relax,
1764762729.426353,rest,
1764762730.941198,session_end,
