timestamp,stage,task
1764763589.381020,session_start,
1764763589.382044,concentration,
1764763590.388689,image,T1
1764763592.904315,action,T1
1764763596.416208,relax,
1764763598.918565,rest,
1764763600.422976,concentration,
1764763601.434067,image,T2
1764763603.954145,action,T2
1764763607.459255,relax,
1764763609.969660,rest,
1764763611.484900,concentration,
1764763612.500357,image,T3
1764763615.008715,action,T3
1764763618.518467,relax,
1764763621.024701,rest,
1764763622.537959,concentration,
1764763623.550095,image,T4
1764763626.058246,action,T4
1764763629.578821,relax,
1764763632.094096,rest,
1764763633.602255,concentration,
1764763634.611688,image,T5
1764763637.132420,action,T5
1764763640.648872,relax,
1764763643.158870,rest,
1764763644.668115,concentration,
1764763645.681653,image,T6
1764763648.191313,action,T6
1764763651.705387,relax,
1764763654.214211,rest,
1764763655.724538,concentration,
1764763656.726659,image,T7
1764763659.240941,action,T7
1764763662.750408,relax,
1764763665.266716,rest,
1764763666.778889,session_end,
