timestamp,stage,task
1764764758.962999,session_start,
1764764758.962999,concentration,
1764764759.968977,image,T1
1764764762.484135,action,T1
1764764765.992342,relax,
1764764768.505662,rest,
1764764770.010357,concentration,
1764764771.014505,image,T2
1764764773.523547,action,T2
1764764777.036380,relax,
1764764779.539941,rest,
1764764781.054602,concentration,
1764764782.071639,image,T3
1764764784.579756,action,T3
1764764788.093045,relax,
1764764790.604228,rest,
1764764792.114211,concentration,
1764764793.128546,image,T4
1764764795.639845,action,T4
1764764799.161846,relax,
1764764801.663305,rest,
1764764803.175927,concentration,
1764764804.186049,image,T5
1764764806.695649,action,T5
1764764810.210456,relax,
1764764812.722955,rest,
1764764814.232745,concentration,
1764764815.241715,image,T6
1764764817.757820,action,T6
1764764821.258772,relax,
1764764823.767871,rest,
1764764825.277320,concentration,
1764764826.287938,image,T7
1764764828.801701,action,T7
1764764832.309419,relax,
1764764834.816093,rest,
1764764836.328268,session_end,
