timestamp,stage,task
1764510800.909065,session_start,
1764510800.911139,concentration,
1764510801.926423,image,T1
1764510804.446036,action,T1
1764510807.955105,relax,
1764510810.466436,rest,
1764510811.976318,concentration,
1764510812.989240,image,T2
1764510815.513012,action,T2
1764510819.022238,relax,
1764510821.526372,rest,
1764510823.041055,concentration,
1764510824.056344,image,T3
1764510826.576167,action,T3
1764510830.092001,relax,
1764510832.605877,rest,
1764510834.109680,concentration,
1764510835.122696,image,T4
1764510837.634991,action,T4
1764510841.164747,relax,
1764510843.668100,rest,
1764510845.179565,concentration,
1764510846.192476,image,T5
1764510848.710832,action,T5
1764510852.217484,relax,
1764510854.726066,rest,
1764510856.237550,concentration,
1764510857.251765,image,T6
1764510859.779111,action,T6
1764510863.281816,relax,
1764510865.790200,rest,
1764510867.302026,concentration,
1764510868.312613,image,T7
1764510870.839312,action,T7
1764510874.350911,relax,
1764510876.862729,rest,
1764510878.375095,session_end,
