timestamp,stage,task
1764512830.910998,session_start,
1764512830.913759,concentration,
1764512831.925964,image,T1
1764512834.442169,action,T1
1764512837.951813,relax,
1764512840.466882,rest,
1764512841.983265,concentration,
1764512842.999362,image,T2
1764512845.520657,action,T2
1764512849.036306,relax,
1764512851.542813,rest,
1764512853.055708,concentration,
1764512854.059086,image,T3
1764512856.572700,action,T3
1764512860.084227,relax,
1764512862.601883,rest,
1764512864.105640,concentration,
1764512865.121057,image,T4
1764512867.641165,action,T4
1764512871.171186,relax,
1764512873.677248,rest,
1764512875.191988,concentration,
1764512876.209853,image,T5
1764512878.725045,action,T5
1764512882.237209,relax,
1764512884.748038,rest,
1764512886.264971,concentration,
1764512887.278848,image,T6
1764512889.806372,action,T6
1764512893.314990,relax,
1764512895.832853,rest,
1764512897.337600,concentration,
1764512898.346055,image,T7
1764512900.866962,action,T7
1764512904.371794,relax,
1764512906.882508,rest,
1764512908.398353,session_end,
