timestamp,stage,task
1764511269.359840,session_start,
1764511269.361383,concentration,
1764511270.371949,image,T1
1764511272.891902,action,T1
1764511276.402268,relax,
1764511278.909501,rest,
1764511280.420297,concentration,
1764511281.434519,image,T2
1764511283.949142,action,T2
1764511287.458934,relax,
1764511289.965204,rest,
1764511291.475224,concentration,
1764511292.489925,image,T3
1764511295.000952,action,T3
1764511298.518363,relax,
1764511301.033102,rest,
1764511302.548833,concentration,
1764511303.566809,image,T4
1764511306.093370,action,T4
1764511309.622445,relax,
1764511312.129419,rest,
1764511313.639205,concentration,
1764511314.653784,image,T5
1764511317.165887,action,T5
1764511320.679048,relax,
1764511323.186846,rest,
1764511324.691423,concentration,
1764511325.703900,image,T6
1764511328.217346,action,T6
1764511331.726616,relax,
1764511334.234200,rest,
1764511335.745394,concentration,
1764511336.762843,image,T7
1764511339.276505,action,T7
1764511342.782029,relax,
1764511345.291070,rest,
1764511346.794544,session_end,
