timestamp,stage,task
1764510957.011481,session_start,
1764510957.012506,concentration,
1764510958.018650,image,T1
1764510960.531698,action,T1
1764510964.034859,relax,
1764510966.537968,rest,
1764510968.051828,concentration,
1764510969.060368,image,T2
1764510971.588174,action,T2
1764510975.102555,relax,
1764510977.609465,rest,
1764510979.125780,concentration,
1764510980.141148,image,T3
1764510982.668146,action,T3
1764510986.173502,relax,
1764510988.686497,rest,
1764510990.201149,concentration,
1764510991.212836,image,T4
1764510993.733969,action,T4
1764510997.254717,relax,
1764510999.764663,rest,
1764511001.277196,concentration,
1764511002.288545,image,T5
1764511004.810352,action,T5
1764511008.324246,relax,
1764511010.832892,rest,
1764511012.341677,concentration,
1764511013.354562,image,T6
1764511015.875016,action,T6
1764511019.380837,relax,
1764511021.891280,rest,
1764511023.407286,concentration,
1764511024.423195,image,T7
1764511026.952910,action,T7
1764511030.464550,relax,
1764511032.973965,rest,
1764511034.489993,session_end,
