timestamp,stage,task
1764512752.819939,session_start,
1764512752.820472,concentration,
1764512753.825915,image,T1
1764512756.356963,action,T1
1764512759.868525,relax,
1764512762.380424,rest,
1764512763.892294,concentration,
1764512764.910382,image,T2
1764512767.427034,action,T2
1764512770.943260,relax,
1764512773.450322,rest,
1764512774.952792,concentration,
1764512775.955249,image,T3
1764512778.480744,action,T3
1764512781.985350,relax,
1764512784.503629,rest,
1764512786.019104,concentration,
1764512787.035090,image,T4
1764512789.553593,action,T4
1764512793.073087,relax,
1764512795.577190,rest,
1764512797.080940,concentration,
1764512798.094335,image,T5
1764512800.614681,action,T5
1764512804.125800,relax,
1764512806.638515,rest,
1764512808.151187,concentration,
1764512809.165344,image,T6
1764512811.690489,action,T6
1764512815.199412,relax,
1764512817.706902,rest,
1764512819.217095,concentration,
1764512820.227307,image,T7
1764512822.744037,action,T7
1764512826.259107,relax,
1764512828.773659,rest,
1764512830.288780,session_end,
