timestamp,stage,task
1764510878.984885,session_start,
1764510878.986429,concentration,
1764510879.991275,image,T1
1764510882.521493,action,T1
1764510886.030574,relax,
1764510888.536229,rest,
1764510890.053522,concentration,
1764510891.062405,image,T2
1764510893.587578,action,T2
1764510897.099513,relax,
1764510899.601656,rest,
1764510901.116271,concentration,
1764510902.126364,image,T3
1764510904.643373,action,T3
1764510908.156257,relax,
1764510910.673239,rest,
1764510912.175718,concentration,
1764510913.192085,image,T4
1764510915.728586,action,T4
1764510919.235088,relax,
1764510921.738627,rest,
1764510923.245351,concentration,
1764510924.256402,image,T5
1764510926.768647,action,T5
1764510930.277476,relax,
1764510932.784325,rest,
1764510934.292112,concentration,
1764510935.304388,image,T6
1764510937.829322,action,T6
1764510941.341737,relax,
1764510943.847346,rest,
1764510945.352107,concentration,
1764510946.355653,image,T7
1764510948.875945,action,T7
1764510952.382179,relax,
1764510954.897985,rest,
1764510956.400858,session_end,
