timestamp,stage,task
1764512987.084926,session_start,
1764512987.085947,concentration,
1764512988.090543,image,T1
1764512990.614968,action,T1
1764512994.121390,relax,
1764512996.623987,rest,
1764512998.130013,concentration,
1764512999.143332,image,T2
1764513001.662571,action,T2
1764513005.172514,relax,
1764513007.686229,rest,
1764513009.190388,concentration,
1764513010.208741,image,T3
1764513012.730864,action,T3
1764513016.245033,relax,
1764513018.748695,rest,
1764513020.263787,concentration,
1764513021.268298,image,T4
1764513023.782384,action,T4
1764513027.291523,relax,
1764513029.804810,rest,
1764513031.319573,concentration,
1764513032.324804,image,T5
1764513034.837752,action,T5
1764513038.347837,relax,
1764513040.860291,rest,
1764513042.363075,concentration,
1764513043.382360,image,T6
1764513045.895900,action,T6
1764513049.409960,relax,
1764513051.927373,rest,
1764513053.442060,concentration,
1764513054.454524,image,T7
1764513056.973753,action,T7
1764513060.477476,relax,
1764513062.982631,rest,
1764513064.498264,session_end,
