timestamp,stage,task
1764512206.310094,session_start,
1764512206.311119,concentration,
1764512207.315787,image,T1
1764512209.836947,action,T1
1764512213.343127,relax,
1764512215.847309,rest,
1764512217.363824,concentration,
1764512218.366778,image,T2
1764512220.893382,action,T2
1764512224.405439,relax,
1764512226.909479,rest,
1764512228.412706,concentration,
1764512229.430320,image,T3
1764512231.955598,action,T3
1764512235.459362,relax,
1764512237.971303,rest,
1764512239.481596,concentration,
1764512240.489415,image,T4
1764512243.017182,action,T4
1764512246.545361,relax,
1764512249.061759,rest,
1764512250.567536,concentration,
1764512251.569376,image,T5
1764512254.081833,action,T5
1764512257.599242,relax,
1764512260.102234,rest,
1764512261.617702,concentration,
1764512262.627504,image,T6
1764512265.150465,action,T6
1764512268.661287,relax,
1764512271.176404,rest,
1764512272.681633,concentration,
1764512273.695642,image,T7
1764512276.222891,action,T7
1764512279.731433,relax,
1764512282.235949,rest,
1764512283.738519,session_end,
