timestamp,stage,task
1764511425.490912,session_start,
1764511425.491930,concentration,
1764511426.504999,image,T1
1764511429.030798,action,T1
1764511432.539068,relax,
1764511435.046850,rest,
1764511436.559842,concentration,
1764511437.574568,image,T2
1764511440.088696,action,T2
1764511443.597882,relax,
1764511446.109410,rest,
1764511447.621411,concentration,
1764511448.626139,image,T3
1764511451.153782,action,T3
1764511454.658456,relax,
1764511457.173015,rest,
1764511458.683089,concentration,
1764511459.695183,image,T4
1764511462.215447,action,T4
1764511465.739690,relax,
1764511468.243740,rest,
1764511469.752164,concentration,
1764511470.766402,image,T5
1764511473.291036,action,T5
1764511476.796151,relax,
1764511479.307551,rest,
1764511480.824168,concentration,
1764511481.838337,image,T6
1764511484.364580,action,T6
1764511487.879113,relax,
1764511490.383312,rest,
1764511491.899467,concentration,
1764511492.910793,image,T7
1764511495.428059,action,T7
1764511498.940658,relax,
1764511501.452946,rest,
1764511502.963672,session_end,
