timestamp,stage,task
1764511581.657948,session_start,
1764511581.658970,concentration,
1764511582.671512,image,T1
1764511585.197366,action,T1
1764511588.704389,relax,
1764511591.213259,rest,
1764511592.724969,concentration,
1764511593.740743,image,T2
1764511596.265193,action,T2
1764511599.777844,relax,
1764511602.282946,rest,
1764511603.798185,concentration,
1764511604.813238,image,T3
1764511607.329037,action,T3
1764511610.837429,relax,
1764511613.351158,rest,
1764511614.865455,concentration,
1764511615.879472,image,T4
1764511618.390812,action,T4
1764511621.895404,relax,
1764511624.406495,rest,
1764511625.917131,concentration,
1764511626.930923,image,T5
1764511629.456803,action,T5
1764511632.967838,relax,
1764511635.476718,rest,
1764511636.992079,concentration,
1764511638.005523,image,T6
1764511640.524438,action,T6
1764511644.039255,relax,
1764511646.548444,rest,
1764511648.063514,concentration,
1764511649.080042,image,T7
1764511651.608739,action,T7
1764511655.124050,relax,
1764511657.636400,rest,
1764511659.153213,session_end,
