timestamp,stage,task
1764513065.107967,session_start,
1764513065.109483,concentration,
1764513066.118715,image,T1
1764513068.641871,action,T1
1764513072.151849,relax,
1764513074.654307,rest,
1764513076.159382,concentration,
1764513077.176223,image,T2
1764513079.697118,action,T2
1764513083.208559,relax,
1764513085.722028,rest,
1764513087.228746,concentration,
1764513088.245155,image,T3
1764513090.762880,action,T3
1764513094.274533,relax,
1764513096.780183,rest,
1764513098.297229,concentration,
1764513099.298918,image,T4
1764513101.813683,action,T4
1764513105.336085,relax,
1764513107.841950,rest,
1764513109.346641,concentration,
1764513110.351333,image,T5
1764513112.875878,action,T5
1764513116.382198,relax,
1764513118.896322,rest,
1764513120.409277,concentration,
1764513121.423632,image,T6
1764513123.944538,action,T6
1764513127.453888,relax,
1764513129.965645,rest,
1764513131.472843,concentration,
1764513132.485993,image,T7
1764513135.012156,action,T7
1764513138.521622,relax,
1764513141.033234,rest,
1764513142.547218,session_end,
