timestamp,stage,task
1764511894.042867,session_start,
1764511894.042867,concentration,
1764511895.050378,image,T1
1764511897.575641,action,T1
1764511901.080360,relax,
1764511903.585108,rest,
1764511905.095152,concentration,
1764511906.106967,image,T2
1764511908.634960,action,T2
1764511912.149777,relax,
1764511914.664720,rest,
1764511916.179145,concentration,
1764511917.192631,image,T3
1764511919.718884,action,T3
1764511923.230413,relax,
1764511925.742704,rest,
1764511927.256333,concentration,
1764511928.270664,image,T4
1764511930.781747,action,T4
1764511934.312989,relax,
1764511936.825284,rest,
1764511938.334930,concentration,
1764511939.338877,image,T5
1764511941.855836,action,T5
1764511945.360242,relax,
1764511947.874857,rest,
1764511949.388720,concentration,
1764511950.399919,image,T6
1764511952.925269,action,T6
1764511956.440563,relax,
1764511958.952012,rest,
1764511960.462168,concentration,
1764511961.476763,image,T7
1764511963.998731,action,T7
1764511967.504204,relax,
1764511970.006555,rest,
1764511971.516454,session_end,
