timestamp,stage,task
1764512518.583320,session_start,
1764512518.584337,concentration,
1764512519.587904,image,T1
1764512522.106816,action,T1
1764512525.617877,relax,
1764512528.132257,rest,
1764512529.649163,concentration,
1764512530.650637,image,T2
1764512533.174832,action,T2
1764512536.693224,relax,
1764512539.211137,rest,
1764512540.715105,concentration,
1764512541.730019,image,T3
1764512544.259848,action,T3
1764512547.772641,relax,
1764512550.290285,rest,
1764512551.806415,concentration,
1764512552.809835,image,T4
1764512555.328635,action,T4
1764512558.854477,relax,
1764512561.364207,rest,
1764512562.878708,concentration,
1764512563.895300,image,T5
1764512566.414711,action,T5
1764512569.925152,relax,
1764512572.438905,rest,
1764512573.951109,concentration,
1764512574.958515,image,T6
1764512577.487173,action,T6
1764512580.991650,relax,
1764512583.506512,rest,
1764512585.021957,concentration,
1764512586.036209,image,T7
1764512588.549427,action,T7
1764512592.053092,relax,
1764512594.558264,rest,
1764512596.066671,session_end,
