timestamp,stage,task
1764512440.503722,session_start,
1764512440.504728,concentration,
1764512441.515601,image,T1
1764512444.046163,action,T1
1764512447.559548,relax,
1764512450.074839,rest,
1764512451.588424,concentration,
1764512452.599422,image,T2
1764512455.122841,action,T2
1764512458.636076,relax,
1764512461.139959,rest,
1764512462.644723,concentration,
1764512463.659888,image,T3
1764512466.186284,action,T3
1764512469.690010,relax,
1764512472.211510,rest,
1764512473.721977,concentration,
1764512474.735847,image,T4
1764512477.273685,action,T4
1764512480.786166,relax,
1764512483.301228,rest,
1764512484.807310,concentration,
1764512485.813638,image,T5
1764512488.331364,action,T5
1764512491.847027,relax,
1764512494.356760,rest,
1764512495.873851,concentration,
1764512496.882492,image,T6
1764512499.401562,action,T6
1764512502.906459,relax,
1764512505.413978,rest,
1764512506.919816,concentration,
1764512507.933561,image,T7
1764512510.450383,action,T7
1764512513.954839,relax,
1764512516.464142,rest,
1764512517.975320,session_end,
