timestamp,stage,task
1764512050.219120,session_start,
1764512050.220645,concentration,
1764512051.227478,image,T1
1764512053.751878,action,T1
1764512057.259917,relax,
1764512059.774266,rest,
1764512061.276617,concentration,
1764512062.292641,image,T2
1764512064.812326,action,T2
1764512068.326335,relax,
1764512070.836559,rest,
1764512072.350316,concentration,
1764512073.362413,image,T3
1764512075.886375,action,T3
1764512079.395692,relax,
1764512081.912611,rest,
1764512083.423559,concentration,
1764512084.439837,image,T4
1764512086.952284,action,T4
1764512090.478783,relax,
1764512092.995210,rest,
1764512094.499368,concentration,
1764512095.502506,image,T5
1764512098.020168,action,T5
1764512101.522816,relax,
1764512104.028422,rest,
1764512105.548707,concentration,
1764512106.565727,image,T6
1764512109.084729,action,T6
1764512112.598036,relax,
1764512115.103815,rest,
1764512116.620708,concentration,
1764512117.629264,image,T7
1764512120.155021,action,T7
1764512123.671332,relax,
1764512126.188178,rest,
1764512127.693724,session_end,
