timestamp,stage,task
1764511815.961795,session_start,
1764511815.963029,concentration,
1764511816.969471,image,T1
1764511819.493139,action,T1
1764511822.999318,relax,
1764511825.509367,rest,
1764511827.021298,concentration,
1764511828.035524,image,T2
1764511830.551425,action,T2
1764511834.059050,relax,
1764511836.568089,rest,
1764511838.081116,concentration,
1764511839.091691,image,T3
1764511841.610853,action,T3
1764511845.120263,relax,
1764511847.628061,rest,
1764511849.140467,concentration,
1764511850.149662,image,T4
1764511852.673449,action,T4
1764511856.191173,relax,
1764511858.707541,rest,
1764511860.224303,concentration,
1764511861.233839,image,T5
1764511863.756771,action,T5
1764511867.269387,relax,
1764511869.781516,rest,
1764511871.293678,concentration,
1764511872.310654,image,T6
1764511874.825074,action,T6
1764511878.337386,relax,
1764511880.849878,rest,
1764511882.366362,concentration,
1764511883.380491,image,T7
1764511885.903874,action,T7
1764511889.410172,relax,
1764511891.926533,rest,
1764511893.436499,session_end,
