timestamp,stage,task
1764511113.197500,session_start,
1764511113.198033,concentration,
1764511114.203810,image,T1
1764511116.715684,action,T1
1764511120.230577,relax,
1764511122.744903,rest,
1764511124.257293,concentration,
1764511125.266754,image,T2
1764511127.790906,action,T2
1764511131.306946,relax,
1764511133.815725,rest,
1764511135.322816,concentration,
1764511136.338004,image,T3
1764511138.867575,action,T3
1764511142.379808,relax,
1764511144.882763,rest,
1764511146.387180,concentration,
1764511147.399173,image,T4
1764511149.925229,action,T4
1764511153.452024,relax,
1764511155.970338,rest,
1764511157.474166,concentration,
1764511158.490231,image,T5
1764511161.005480,action,T5
1764511164.516600,relax,
1764511167.030782,rest,
1764511168.546589,concentration,
1764511169.561511,image,T6
1764511172.089580,action,T6
1764511175.600817,relax,
1764511178.113057,rest,
1764511179.626503,concentration,
1764511180.642850,image,T7
1764511183.168737,action,T7
1764511186.674723,relax,
1764511189.189992,rest,
1764511190.692545,session_end,
