timestamp,stage,task
1764768228.380139,session_start,
1764768228.381193,concentration,
1764768229.383528,image,T1
1764768231.902432,action,T1
1764768235.414842,relax,
1764768237.924423,rest,
1764768239.433074,concentration,
1764768240.446526,image,T2
1764768242.958584,action,T2
1764768246.468075,relax,
1764768248.981380,rest,
1764768250.489412,concentration,
1764768251.503635,image,T3
1764768254.024759,action,T3
1764768257.537077,relax,
1764768260.047545,rest,
1764768261.556978,concentration,
1764768262.569774,image,T4
1764768265.090849,action,T4
1764768268.610345,relax,
1764768271.126246,rest,
1764768272.641195,concentration,
1764768273.652718,image,T5
1764768276.173131,action,T5
1764768279.675451,relax,
1764768282.185559,rest,
1764768283.696616,concentration,
1764768284.706474,image,T6
1764768287.213560,action,T6
1764768290.729009,relax,
1764768293.240364,rest,
1764768294.747318,concentration,
1764768295.756675,image,T7
1764768298.266047,action,T7
1764768301.771641,relax,
1764768304.279118,rest,
1764768305.788209,session_end,
