timestamp,stage,task
1764767448.509341,session_start,
1764767448.510949,concentration,
1764767449.517090,image,T1
1764767452.036419,action,T1
1764767455.543644,relax,
1764767458.044880,rest,
1764767459.558459,concentration,
1764767460.569360,image,T2
1764767463.088423,action,T2
1764767466.598830,relax,
1764767469.101979,rest,
1764767470.617979,concentration,
1764767471.626125,image,T3
1764767474.134650,action,T3
1764767477.645029,relax,
1764767480.150564,rest,
1764767481.664573,concentration,
1764767482.677189,image,T4
1764767485.199248,action,T4
1764767488.706198,relax,
1764767491.220156,rest,
1764767492.729840,concentration,
1764767493.740124,image,T5
1764767496.250350,action,T5
1764767499.775700,relax,
1764767502.283771,rest,
1764767503.795350,concentration,
1764767504.808332,image,T6
1764767507.330244,action,T6
1764767510.837511,relax,
1764767513.343459,rest,
1764767514.850651,concentration,
1764767515.852413,image,T7
1764767518.357997,action,T7
1764767521.875432,relax,
1764767524.390150,rest,
1764767525.897447,session_end,
