timestamp,stage,task
1764768774.427336,session_start,
1764768774.428338,concentration,
1764768775.439094,image,T1
1764768777.961340,action,T1
1764768781.470590,relax,
1764768783.975239,rest,
1764768785.482605,concentration,
1764768786.492481,image,T2
1764768789.002412,action,T2
1764768792.505148,relax,
1764768795.018159,rest,
1764768796.527224,concentration,
1764768797.539873,image,T3
1764768800.058630,action,T3
1764768803.564523,relax,
1764768806.066587,rest,
1764768807.577219,concentration,
1764768808.586743,image,T4
1764768811.107356,action,T4
1764768814.616809,relax,
1764768817.132347,rest,
1764768818.646889,concentration,
1764768819.658370,image,T5
1764768822.165111,action,T5
1764768825.672500,relax,
1764768828.177331,rest,
1764768829.690789,concentration,
1764768830.700888,image,T6
1764768833.221208,action,T6
1764768836.723914,relax,
1764768839.239901,rest,
1764768840.749182,concentration,
1764768841.759009,image,T7
1764768844.270507,action,T7
1764768847.780126,relax,
1764768850.287064,rest,
1764768851.788371,session_end,
