timestamp,stage,task
1764767760.506456,session_start,
1764767760.507785,concentration,
1764767761.511302,image,T1
1764767764.027875,action,T1
1764767767.539612,relax,
1764767770.046598,rest,
1764767771.559530,concentration,
1764767772.572225,image,T2
1764767775.087417,action,T2
1764767778.604119,relax,
1764767781.108090,rest,
1764767782.621332,concentration,
1764767783.634087,image,T3
1764767786.146944,action,T3
1764767789.658756,relax,
1764767792.163619,rest,
1764767793.667125,concentration,
1764767794.683317,image,T4
1764767797.194964,action,T4
1764767800.711311,relax,
1764767803.222064,rest,
1764767804.736276,concentration,
1764767805.745684,image,T5
1764767808.264567,action,T5
1764767811.777615,relax,
1764767814.284188,rest,
1764767815.788531,concentration,
1764767816.792290,image,T6
1764767819.299902,action,T6
1764767822.807104,relax,
1764767825.316471,rest,
1764767826.826589,concentration,
1764767827.838350,image,T7
1764767830.360750,action,T7
1764767833.862809,relax,
1764767836.368720,rest,
1764767837.875585,session_end,
